TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/01/16
TIME	13:05:19
SPECTROMETER/DATA SYSTEM	JASCO Corp., FP-8500, Rev. 1.00
DELTAX	1
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  285.0000
LASTX	  500.0000
NPOINTS	     216
FIRSTY	    52.46772
MAXY	   292.98257
MINY	    -4.55243
XYDATA
	10	110
285	52.4677	52.9443
286	35.0524	35.2479
287	21.3183	21.3227
288	15.8229	15.7761
289	16.9888	16.8487
290	21.0959	20.9428
291	26.0994	25.9231
292	31.362	31.1491
293	36.627	36.4085
294	41.9335	41.7477
295	47.2422	46.9562
296	52.5467	52.2853
297	57.8273	57.5724
298	63.0665	62.8685
299	68.4027	68.1374
300	73.7554	73.429
301	79.181	78.8384
302	84.6495	84.2078
303	90.2466	89.6494
304	95.7722	95.1988
305	101.581	100.905
306	107.491	106.717
307	113.774	112.878
308	120.038	119.253
309	126.599	125.764
310	133.345	132.47
311	140.137	139.315
312	147.344	146.373
313	154.696	153.575
314	162.103	160.953
315	169.547	168.408
316	177.11	175.953
317	184.815	183.659
318	192.61	191.404
319	200.493	199.095
320	208.313	206.884
321	215.85	214.361
322	223.37	221.806
323	230.748	229.12
324	237.788	236.147
325	244.545	242.84
326	250.85	249.236
327	256.845	255.239
328	262.517	261.065
329	267.776	266.313
330	272.709	271.123
331	277.02	275.384
332	280.752	279.101
333	284.133	282.308
334	286.891	285.057
335	289.242	287.463
336	290.858	288.962
337	292.214	290.094
338	292.85	290.725
339	292.983	290.861
340	292.886	290.482
341	292.097	289.893
342	291.083	288.736
343	289.638	287.246
344	287.885	285.505
345	285.613	283.392
346	283.102	281.13
347	280.535	278.484
348	277.624	275.685
349	274.583	272.608
350	271.212	269.22
351	267.442	265.553
352	263.719	261.679
353	259.689	257.718
354	255.324	253.33
355	250.828	248.889
356	246.043	244.282
357	241.068	239.383
358	235.935	234.343
359	230.913	229.361
360	225.711	224.226
361	220.258	218.768
362	214.95	213.4
363	209.468	207.913
364	204.03	202.544
365	198.533	197.027
366	193.012	191.581
367	187.549	186.111
368	182.077	180.691
369	176.616	175.288
370	171.263	170.005
371	166.056	164.73
372	160.904	159.443
373	155.871	154.323
374	150.966	149.265
375	145.972	144.181
376	141.006	139.386
377	136.139	134.561
378	131.442	129.756
379	126.715	125.098
380	122.099	120.686
381	117.6	116.321
382	113.192	112.018
383	108.853	107.896
384	104.789	103.789
385	100.88	99.858
386	96.9624	96.124
387	93.2581	92.4473
388	89.4989	88.8395
389	85.953	85.3448
390	82.4817	81.9287
391	79.2272	78.5909
392	76.0716	75.4579
393	72.9647	72.3352
394	69.9341	69.2768
395	67.0282	66.3691
396	64.2554	63.4683
397	61.5903	60.7551
398	58.9061	58.1468
399	56.3639	55.6326
400	53.8958	53.1615
401	51.4473	50.8118
402	49.0839	48.5376
403	46.8692	46.2972
404	44.6995	44.2121
405	42.6346	42.1631
406	40.6187	40.2207
407	38.7361	38.3234
408	36.8783	36.5889
409	35.1146	34.8704
410	33.5044	33.2067
411	31.8758	31.6858
412	30.4368	30.1293
413	28.9578	28.6919
414	27.5757	27.3357
415	26.241	25.9593
416	24.9143	24.5591
417	23.706	23.3349
418	22.5143	22.2298
419	21.3761	21.0966
420	20.2392	19.9556
421	19.2096	18.9221
422	18.1901	17.915
423	17.1962	17.027
424	16.2751	16.1986
425	15.4108	15.2986
426	14.5477	14.4804
427	13.7329	13.6706
428	12.9455	12.9386
429	12.1607	12.1995
430	11.4533	11.4738
431	10.762	10.7544
432	10.1103	10.0748
433	9.45638	9.4267
434	8.86323	8.84555
435	8.25133	8.24079
436	7.7015	7.69299
437	7.14676	7.14774
438	6.62401	6.63685
439	6.12939	6.13241
440	5.64744	5.68078
441	5.23255	5.2289
442	4.7879	4.78001
443	4.36995	4.36348
444	4.02798	3.93841
445	3.68165	3.53819
446	3.32698	3.20119
447	2.95084	2.86995
448	2.58285	2.48475
449	2.25553	2.14659
450	1.92852	1.81537
451	1.60049	1.50971
452	1.25315	1.21616
453	0.922207	0.936117
454	0.625571	0.644133
455	0.351337	0.339827
456	0.0830203	0.0725204
457	-0.155314	-0.209924
458	-0.401257	-0.429195
459	-0.64364	-0.656496
460	-0.847358	-0.875979
461	-1.06403	-1.10068
462	-1.26199	-1.30046
463	-1.43121	-1.49124
464	-1.59682	-1.65349
465	-1.7536	-1.79554
466	-1.9186	-1.97512
467	-2.06383	-2.08648
468	-2.18523	-2.23133
469	-2.30373	-2.34163
470	-2.43339	-2.46239
471	-2.54586	-2.5729
472	-2.6688	-2.69293
473	-2.80505	-2.8157
474	-2.90058	-2.89815
475	-3.01777	-3.00524
476	-3.11054	-3.11946
477	-3.21193	-3.2152
478	-3.31147	-3.32293
479	-3.39945	-3.40589
480	-3.48807	-3.49953
481	-3.58454	-3.57274
482	-3.67075	-3.67203
483	-3.73799	-3.7352
484	-3.80898	-3.80228
485	-3.88156	-3.85873
486	-3.93663	-3.92221
487	-3.99953	-3.974
488	-4.07619	-4.06099
489	-4.12183	-4.11224
490	-4.16009	-4.1657
491	-4.21445	-4.22691
492	-4.26394	-4.26984
493	-4.31008	-4.32296
494	-4.36423	-4.36565
495	-4.39428	-4.40748
496	-4.42927	-4.43522
497	-4.45644	-4.4563
498	-4.49552	-4.48697
499	-4.52701	-4.51544
500	-4.55243	-4.55405
